ne_name,top_keys
CARDINAL,"[('電影', [('10', 2), ('一半', 2), ('1.5億', 1), ('11', 1), ('十萬', 1), ('12', 1), ('十七', 1), ('500', 1), ('6690', 1), ('4/2', 1), ('一次', 1), ('3/4', 1), ('三四', 1), ('1~3', 1), ('4~5', 1), ('70多', 1), ('3-40', 1), ('60', 1), ('7萬', 1), ('30萬', 1)]),('國立高雄科技大學', [('10', 3), ('之一', 2), ('一次', 2), ('50~60', 1), ('170', 1), ('幾十', 1), ('10:14', 1), ('一半', 1), ('1/3', 1), ('5000', 1), ('500', 1), ('三四', 1), ('1700', 1), ('19', 1), ('六七', 1), ('07', 1), ('一萬多', 1), ('一萬五', 1), ('六七千', 1), ('三千', 1)]),('追星', [('30', 4), ('11', 2), ('一半', 2), ('100', 1), (' 270,000', 1), ('30萬', 1), ('70600', 1), ('2,300', 1), ('70,600', 1), ('60,025', 1), ('200', 1), ('6,000', 1), ('1萬', 1), ('150萬', 1), ('2,000', 1), ('33.9', 1), ('28', 1), ('4.5', 1), ('10', 1), ('1億5,000萬', 1)]), ('全部', [('30', 4), ('11', 2), ('一半', 2), ('100', 1), (' 270,000', 1), ('30萬', 1), ('70600', 1), ('2,300', 1), ('70,600', 1), ('60,025', 1), ('200', 1), ('6,000', 1), ('1萬', 1), ('150萬', 1), ('2,000', 1), ('33.9', 1), ('28', 1), ('4.5', 1), ('10', 1), ('1億5,000萬', 1),('10', 2), ('一半', 2), ('1.5億', 1), ('11', 1), ('十萬', 1), ('12', 1), ('十七', 1), ('500', 1), ('6690', 1), ('4/2', 1), ('一次', 1), ('3/4', 1), ('三四', 1), ('1~3', 1), ('4~5', 1), ('70多', 1), ('3-40', 1), ('60', 1), ('7萬', 1), ('30萬', 1)('10', 2), ('一半', 2), ('1.5億', 1), ('11', 1), ('十萬', 1), ('12', 1), ('十七', 1), ('500', 1), ('6690', 1), ('4/2', 1), ('一次', 1), ('3/4', 1), ('三四', 1), ('1~3', 1), ('4~5', 1), ('70多', 1), ('3-40', 1), ('60', 1), ('7萬', 1), ('30萬', 1)]),('10', 3), ('之一', 2), ('一次', 2), ('50~60', 1), ('170', 1), ('幾十', 1), ('10:14', 1), ('一半', 1), ('1/3', 1), ('5000', 1), ('500', 1), ('三四', 1), ('1700', 1), ('19', 1), ('六七', 1), ('07', 1), ('一萬多', 1), ('一萬五', 1), ('六七千', 1), ('三千', 1)]"
DATE,"[('電影', [('昨天', 6), ('一天', 6), ('六年前', 5), ('2018年', 4), ('今年', 4), ('前幾天', 4), ('幾年前', 3), ('星期一', 3), ('今天', 3), ('當年', 3), ('五百年前', 3), ('六年後', 3), ('六年', 2), ('去年', 2), ('這週末', 2), ('1926年', 2), ('那天', 2), ('一萬年', 2), ('五百年', 2), ('前幾年', 2)]),('國立高雄科技大學', [('今天', 9), ('10天', 4), ('三天', 3), ('昨天', 3), ('下週', 3), ('兩天', 3), ('明天', 2), ('一周', 2), ('一年', 2), ('暑假', 1), ('去年', 1), ('禮拜六', 1), ('前天', 1), ('七天', 1), ('4/25', 1), ('今年', 1), ('大四', 1), ('上學期', 1), ('十天', 1), ('4/13', 1)]), ('全部', [('昨天', 6), ('一天', 6), ('六年前', 5), ('2018年', 4), ('今年', 4), ('前幾天', 4), ('幾年前', 3), ('星期一', 3), ('今天', 3), ('當年', 3), ('五百年前', 3), ('六年後', 3), ('六年', 2), ('去年', 2), ('這週末', 2), ('1926年', 2), ('那天', 2), ('一萬年', 2), ('五百年', 2), ('前幾年', 2),('今天', 9), ('10天', 4), ('三天', 3), ('昨天', 3), ('下週', 3), ('兩天', 3), ('明天', 2), ('一周', 2), ('一年', 2), ('暑假', 1), ('去年', 1), ('禮拜六', 1), ('前天', 1), ('七天', 1), ('4/25', 1), ('今年', 1), ('大四', 1), ('上學期', 1), ('十天', 1), ('4/13', 1)]),('追星', [('今天', 23), ('昨天', 11), ('本月', 9), ('去年', 9), ('2021年', 7), ('春天', 7), ('2019年', 5), ('今年', 5), ('1年', 5), ('2018年', 5), ('20歲', 4), ('明天', 4), ('冬天', 4), ('11年', 3), ('當天', 3), ('夏日', 3), ('去年下半年', 2), ('3個月', 2), ('下半年', 2), ('去年10月第3周', 2),('今天', 23), ('昨天', 11), ('本月', 9), ('去年', 9), ('2021年', 7), ('春天', 7), ('2019年', 5), ('今年', 5), ('1年', 5), ('2018年', 5), ('20歲', 4), ('明天', 4), ('冬天', 4), ('11年', 3), ('當天', 3), ('夏日', 3), ('去年下半年', 2), ('3個月', 2), ('下半年', 2), ('去年10月第3周', 2)])]"
EVENT,"[('電影', [('坎城影展', 1), ('311大地震', 1), ('釜山國際電影節', 1), ('葛鄧大戰', 1), ('東方快車謀殺案', 1), ('屆柏林影展', 1)]),('國立高雄科技大學', []),('追星', [('第64屆葛萊美獎', 1)]), ('全部', [('坎城影展', 1), ('311大地震', 1), ('釜山國際電影節', 1), ('葛鄧大戰', 1), ('東方快車謀殺案', 1), ('屆柏林影展', 1),('第64屆葛萊美獎', 1)])]"
FAC,"[('電影', [('白宮', 1), ('不丹街', 1), ('雙溪釣蝦場', 1), ('杏林醫院', 1)]),('國立高雄科技大學', [('楠梓校區', 5), ('燕巢校區', 4), ('楓禾園', 3), ('旗津校區', 3), ('燕巢', 2), ('建功校區', 1), ('楠梓校區教室', 1), ('阿莊', 1), ('豫園', 1), ('B52', 1), ('藤雄館', 1), ('樂活中心', 1), ('海事實習大樓', 1)]),('追星', [('慶尚北道', 1), ('舞濱圓形劇場', 1), ('美國帝國大廈', 1)]), ('全部', [('白宮', 1), ('不丹街', 1), ('雙溪釣蝦場', 1), ('杏林醫院', 1),('楠梓校區', 5), ('燕巢校區', 4), ('楓禾園', 3), ('旗津校區', 3), ('燕巢', 2), ('建功校區', 1), ('楠梓校區教室', 1), ('阿莊', 1), ('豫園', 1), ('B52', 1), ('藤雄館', 1), ('樂活中心', 1), ('海事實習大樓', 1),('慶尚北道', 1), ('舞濱圓形劇場', 1), ('美國帝國大廈', 1)])]"
GPE,"[('電影', [('美國', 17), ('台灣', 12), ('香港', 7), ('坎城', 7), ('英國', 6), ('中國', 6), ('日本', 5), ('臺灣', 4), ('巴黎', 4), ('韓國', 4), ('德國', 3), ('台北', 3), ('法國', 3), ('巴西', 2), ('台南', 2), ('紐約市', 2), ('紐約', 2), ('四海', 2), ('義大利', 2), ('長崎', 2)]),('國立高雄科技大學', [('楠梓', 5), ('高雄', 3), ('高雄市', 2), ('燕巢', 2), ('楠梓校區', 1), ('琉球', 1), ('台灣', 1), ('中澳', 1), ('楠梓區', 1)]),('追星', [('台灣', 19), ('韓國', 18), ('台中', 7), ('臺灣', 6), ('台北', 6), ('美國', 5), ('日本', 5), ('台南', 5), ('高雄', 3), ('中國', 3), ('香港', 2), ('舊金山', 1), ('拉斯維加斯', 1), ('盈德郡', 1), ('巴西', 1), ('陝川郡', 1), ('仁川', 1), ('釜山', 1), ('龜尾市', 1), ('麻浦區', 1)]), ('全部', [('美國', 17), ('台灣', 12), ('香港', 7), ('坎城', 7), ('英國', 6), ('中國', 6), ('日本', 5), ('臺灣', 4), ('巴黎', 4), ('韓國', 4), ('德國', 3), ('台北', 3), ('法國', 3), ('巴西', 2), ('台南', 2), ('紐約市', 2), ('紐約', 2), ('四海', 2), ('義大利', 2), ('長崎', 2)('美國', 17), ('台灣', 12), ('香港', 7), ('坎城', 7), ('英國', 6), ('中國', 6), ('日本', 5), ('臺灣', 4), ('巴黎', 4), ('韓國', 4), ('德國', 3), ('台北', 3), ('法國', 3), ('巴西', 2), ('台南', 2), ('紐約市', 2), ('紐約', 2), ('四海', 2), ('義大利', 2), ('長崎', 2),('楠梓', 5), ('高雄', 3), ('高雄市', 2), ('燕巢', 2), ('楠梓校區', 1), ('琉球', 1), ('台灣', 1), ('中澳', 1), ('楠梓區', 1),('台灣', 19), ('韓國', 18), ('台中', 7), ('臺灣', 6), ('台北', 6), ('美國', 5), ('日本', 5), ('台南', 5), ('高雄', 3), ('中國', 3), ('香港', 2), ('舊金山', 1), ('拉斯維加斯', 1), ('盈德郡', 1), ('巴西', 1), ('陝川郡', 1), ('仁川', 1), ('釜山', 1), ('龜尾市', 1), ('麻浦區', 1)])]"
LANGUAGE,"[('電影', [('英文', 2), ('粵語', 1), ('中文', 1), ('英語', 1)]),('國立高雄科技大學', [('英文', 3), ('中文書', 1), ('中文版', 1)]),('追星', [('韓文', 8), ('中文', 5), ('韓語', 4), ('英文', 2), ('韓劇', 1), ('中文字', 1)]), ('全部', [('粵語', 1),  ('英語', 1), ('中文書', 1), ('中文版', 1),('韓文', 8), ('中文', 6), ('韓語', 4), ('英文', 7), ('韓劇', 1), ('中文字', 1)])]"
LAW,"[('電影', []),('國立高雄科技大學', []), ('追星', [('禁止請託法', 3)]), ('全部', [('禁止請託法', 3)])]"
LOC,"[('電影', [('亞洲', 3), ('歐洲', 1)]),('國立高雄科技大學', [('東港', 1), ('朝明路', 1)]),('追星', [('海岸村', 1), ('宣虎島', 1)]), ('全部', [('亞洲', 3), ('歐洲', 1),('東港', 1), ('朝明路', 1),('海岸村', 1), ('宣虎島', 1)])]"
MONEY,"[('電影', [('一塊錢', 2), ('230元', 1), ('20萬美元', 1), ('29.6億日圓', 1), ('十元', 1), ('1億日圓', 1), ('4億日圓', 1), ('7.15億日圓', 1)]),('國立高雄科技大學', [('100元', 2), ('50', 1), ('幾百塊', 1), ('350', 1)]),('追星', [('6000韓元', 1)]), ('全部', [('一塊錢', 2), ('230元', 1), ('20萬美元', 1), ('29.6億日圓', 1), ('十元', 1), ('1億日圓', 1), ('4億日圓', 1), ('7.15億日圓', 1),('100元', 2), ('50', 1), ('幾百塊', 1), ('350', 1),('6000韓元', 1)])]"
NORP,"[('電影', [('日本', 5), ('台灣', 5), ('美國', 2), ('日本人', 2), ('香港人', 2), ('英國', 2), ('台北人', 1), ('日劇', 1), ('韓國', 1), ('台中人', 1), ('台港人', 1), ('美國人', 1), ('丹麥', 1)]),('國立高雄科技大學', [('日校', 1), ('嘉中人', 1)]),('追星', [('韓流', 16), ('韓國', 9), ('台灣', 7), ('韓國人', 4), ('日本', 3), ('韓劇', 3), ('韓影', 1), ('韓食', 1), ('韓妝', 1), ('日本人', 1), ('中國', 1), ('泰國', 1), ('邵氏', 1), ('韓系', 1), ('台灣人', 1), ('白俄', 1)]), ('全部', [('日本', 5), ('台灣', 5), ('美國', 2), ('日本人', 2), ('香港人', 2), ('英國', 2), ('台北人', 1), ('日劇', 1), ('韓國', 1), ('台中人', 1), ('台港人', 1), ('美國人', 1), ('丹麥', 1),('日校', 1), ('嘉中人', 1),('韓流', 16), ('韓國', 9), ('台灣', 7), ('韓國人', 4), ('日本', 3), ('韓劇', 3), ('韓影', 1), ('韓食', 1), ('韓妝', 1), ('日本人', 1), ('中國', 1), ('泰國', 1), ('邵氏', 1), ('韓系', 1), ('台灣人', 1), ('白俄', 1)])]"
