ne_name,top_keys
CARDINAL,"[('追星', [('30', 4), ('11', 2), ('一半', 2), ('100', 1), (' 270,000', 1), ('30萬', 1), ('70600', 1), ('2,300', 1), ('70,600', 1), ('60,025', 1), ('200', 1), ('6,000', 1), ('1萬', 1), ('150萬', 1), ('2,000', 1), ('33.9', 1), ('28', 1), ('4.5', 1), ('10', 1), ('1億5,000萬', 1)]), ('全部', [('30', 4), ('11', 2), ('一半', 2), ('100', 1), (' 270,000', 1), ('30萬', 1), ('70600', 1), ('2,300', 1), ('70,600', 1), ('60,025', 1), ('200', 1), ('6,000', 1), ('1萬', 1), ('150萬', 1), ('2,000', 1), ('33.9', 1), ('28', 1), ('4.5', 1), ('10', 1), ('1億5,000萬', 1)])]"
DATE,"[('追星', [('今天', 23), ('昨天', 11), ('本月', 9), ('去年', 9), ('2021年', 7), ('春天', 7), ('2019年', 5), ('今年', 5), ('1年', 5), ('2018年', 5), ('20歲', 4), ('明天', 4), ('冬天', 4), ('11年', 3), ('當天', 3), ('夏日', 3), ('去年下半年', 2), ('3個月', 2), ('下半年', 2), ('去年10月第3周', 2)]), ('全部', [('今天', 23), ('昨天', 11), ('本月', 9), ('去年', 9), ('2021年', 7), ('春天', 7), ('2019年', 5), ('今年', 5), ('1年', 5), ('2018年', 5), ('20歲', 4), ('明天', 4), ('冬天', 4), ('11年', 3), ('當天', 3), ('夏日', 3), ('去年下半年', 2), ('3個月', 2), ('下半年', 2), ('去年10月第3周', 2)])]"
EVENT,"[('追星', [('第64屆葛萊美獎', 1)]), ('全部', [('第64屆葛萊美獎', 1)])]"
FAC,"[('追星', [('慶尚北道', 1), ('舞濱圓形劇場', 1), ('美國帝國大廈', 1)]), ('全部', [('慶尚北道', 1), ('舞濱圓形劇場', 1), ('美國帝國大廈', 1)])]"
GPE,"[('追星', [('台灣', 19), ('韓國', 18), ('台中', 7), ('臺灣', 6), ('台北', 6), ('美國', 5), ('日本', 5), ('台南', 5), ('高雄', 3), ('中國', 3), ('香港', 2), ('舊金山', 1), ('拉斯維加斯', 1), ('盈德郡', 1), ('巴西', 1), ('陝川郡', 1), ('仁川', 1), ('釜山', 1), ('龜尾市', 1), ('麻浦區', 1)]), ('全部', [('台灣', 19), ('韓國', 18), ('台中', 7), ('臺灣', 6), ('台北', 6), ('美國', 5), ('日本', 5), ('台南', 5), ('高雄', 3), ('中國', 3), ('香港', 2), ('舊金山', 1), ('拉斯維加斯', 1), ('盈德郡', 1), ('巴西', 1), ('陝川郡', 1), ('仁川', 1), ('釜山', 1), ('龜尾市', 1), ('麻浦區', 1)])]"
LANGUAGE,"[('追星', [('韓文', 8), ('中文', 5), ('韓語', 4), ('英文', 2), ('韓劇', 1), ('中文字', 1)]), ('全部', [('韓文', 8), ('中文', 5), ('韓語', 4), ('英文', 2), ('韓劇', 1), ('中文字', 1)])]"
LAW,"[('追星', [('禁止請託法', 3)]), ('全部', [('禁止請託法', 3)])]"
LOC,"[('追星', [('海岸村', 1), ('宣虎島', 1)]), ('全部', [('海岸村', 1), ('宣虎島', 1)])]"
MONEY,"[('追星', [('6000韓元', 1)]), ('全部', [('6000韓元', 1)])]"
NORP,"[('追星', [('韓流', 16), ('韓國', 9), ('台灣', 7), ('韓國人', 4), ('日本', 3), ('韓劇', 3), ('韓影', 1), ('韓食', 1), ('韓妝', 1), ('日本人', 1), ('中國', 1), ('泰國', 1), ('邵氏', 1), ('韓系', 1), ('台灣人', 1), ('白俄', 1)]), ('全部', [('韓流', 16), ('韓國', 9), ('台灣', 7), ('韓國人', 4), ('日本', 3), ('韓劇', 3), ('韓影', 1), ('韓食', 1), ('韓妝', 1), ('日本人', 1), ('中國', 1), ('泰國', 1), ('邵氏', 1), ('韓系', 1), ('台灣人', 1), ('白俄', 1)])]"
