ne_name,top_keys
CARDINAL,"[('國立高雄科技大學', [('10', 3), ('之一', 2), ('一次', 2), ('50~60', 1), ('170', 1), ('幾十', 1), ('10:14', 1), ('一半', 1), ('1/3', 1), ('5000', 1), ('500', 1), ('三四', 1), ('1700', 1), ('19', 1), ('六七', 1), ('07', 1), ('一萬多', 1), ('一萬五', 1), ('六七千', 1), ('三千', 1)]), ('全部', [('10', 3), ('之一', 2), ('一次', 2), ('50~60', 1), ('170', 1), ('幾十', 1), ('10:14', 1), ('一半', 1), ('1/3', 1), ('5000', 1), ('500', 1), ('三四', 1), ('1700', 1), ('19', 1), ('六七', 1), ('07', 1), ('一萬多', 1), ('一萬五', 1), ('六七千', 1), ('三千', 1)])]"
DATE,"[('國立高雄科技大學', [('今天', 9), ('10天', 4), ('三天', 3), ('昨天', 3), ('下週', 3), ('兩天', 3), ('明天', 2), ('一周', 2), ('一年', 2), ('暑假', 1), ('去年', 1), ('禮拜六', 1), ('前天', 1), ('七天', 1), ('4/25', 1), ('今年', 1), ('大四', 1), ('上學期', 1), ('十天', 1), ('4/13', 1)]), ('全部', [('今天', 9), ('10天', 4), ('三天', 3), ('昨天', 3), ('下週', 3), ('兩天', 3), ('明天', 2), ('一周', 2), ('一年', 2), ('暑假', 1), ('去年', 1), ('禮拜六', 1), ('前天', 1), ('七天', 1), ('4/25', 1), ('今年', 1), ('大四', 1), ('上學期', 1), ('十天', 1), ('4/13', 1)])]"
EVENT,"[('國立高雄科技大學', []), ('全部', [])]"
FAC,"[('國立高雄科技大學', [('楠梓校區', 5), ('燕巢校區', 4), ('楓禾園', 3), ('旗津校區', 3), ('燕巢', 2), ('建功校區', 1), ('楠梓校區教室', 1), ('阿莊', 1), ('豫園', 1), ('B52', 1), ('藤雄館', 1), ('樂活中心', 1), ('海事實習大樓', 1)]), ('全部', [('楠梓校區', 5), ('燕巢校區', 4), ('楓禾園', 3), ('旗津校區', 3), ('燕巢', 2), ('建功校區', 1), ('楠梓校區教室', 1), ('阿莊', 1), ('豫園', 1), ('B52', 1), ('藤雄館', 1), ('樂活中心', 1), ('海事實習大樓', 1)])]"
GPE,"[('國立高雄科技大學', [('楠梓', 5), ('高雄', 3), ('高雄市', 2), ('燕巢', 2), ('楠梓校區', 1), ('琉球', 1), ('台灣', 1), ('中澳', 1), ('楠梓區', 1)]), ('全部', [('楠梓', 5), ('高雄', 3), ('高雄市', 2), ('燕巢', 2), ('楠梓校區', 1), ('琉球', 1), ('台灣', 1), ('中澳', 1), ('楠梓區', 1)])]"
LANGUAGE,"[('國立高雄科技大學', [('英文', 3), ('中文書', 1), ('中文版', 1)]), ('全部', [('英文', 3), ('中文書', 1), ('中文版', 1)])]"
LAW,"[('國立高雄科技大學', []), ('全部', [])]"
LOC,"[('國立高雄科技大學', [('東港', 1), ('朝明路', 1)]), ('全部', [('東港', 1), ('朝明路', 1)])]"
MONEY,"[('國立高雄科技大學', [('100元', 2), ('50', 1), ('幾百塊', 1), ('350', 1)]), ('全部', [('100元', 2), ('50', 1), ('幾百塊', 1), ('350', 1)])]"
NORP,"[('國立高雄科技大學', [('日校', 1), ('嘉中人', 1)]), ('全部', [('日校', 1), ('嘉中人', 1)])]"
ORDINAL,"[('國立高雄科技大學', [('第一', 12), ('第三', 2), ('第一時間', 1), ('第二', 1), ('第四', 1), ('第七', 1)]), ('全部', [('第一', 12), ('第三', 2), ('第一時間', 1), ('第二', 1), ('第四', 1), ('第七', 1)])]"
ORG,"[('國立高雄科技大學', [('教育部', 6), ('衛生局', 5), ('燕巢', 3), ('高科大', 3), ('土木系', 1), ('楠梓衛生局', 1), ('國立高雄師範大學', 1), ('高雄市衛生局', 1), ('中興大學', 1), ('國農系', 1), ('電機系', 1), ('工學院', 1), ('楠梓', 1), ('楠梓系', 1), ('台大', 1), ('女宿', 1), ('文創系', 1), ('楠梓校區體育選課', 1), ('旗津', 1), ('嘉中', 1)]), ('全部', [('教育部', 6), ('衛生局', 5), ('燕巢', 3), ('高科大', 3), ('土木系', 1), ('楠梓衛生局', 1), ('國立高雄師範大學', 1), ('高雄市衛生局', 1), ('中興大學', 1), ('國農系', 1), ('電機系', 1), ('工學院', 1), ('楠梓', 1), ('楠梓系', 1), ('台大', 1), ('女宿', 1), ('文創系', 1), ('楠梓校區體育選課', 1), ('旗津', 1), ('嘉中', 1)])]"
PERCENT,"[('國立高雄科技大學', [('4/19', 1)]), ('全部', [('4/19', 1)])]"
PERSON,"[('國立高雄科技大學', [('江傅文', 1), ('徐偉智', 1), ('丁原郁', 1), ('劉恆鉦', 1), ('薛致富', 1), ('林子宸', 1), ('段考考', 1), ('韋禮安', 1), ('周肇基', 1), ('汪青萍', 1), ('吳秉臻', 1)]), ('全部', [('江傅文', 1), ('徐偉智', 1), ('丁原郁', 1), ('劉恆鉦', 1), ('薛致富', 1), ('林子宸', 1), ('段考考', 1), ('韋禮安', 1), ('周肇基', 1), ('汪青萍', 1), ('吳秉臻', 1)])]"
PRODUCT,"[('國立高雄科技大學', []), ('全部', [])]"
