文章ID|標題|content|發文時間|更新時間|回覆數|按讚數|版中文名|作者學校|作者性別|是否使用圖片|是否使用影片|照片連結|媒體連結|連結（版型為連結才有）
238681373|尋找電影|"有沒有類似復仇者聯盟4場景的電影ㄚ
最近愛上
https://i.imgur.com/kGDWBmm.jpg"|2022-04-21T18:55:59.093Z|2022-04-21T18:55:59.093Z|1|2|電影|木頭怪|M|True|False|[{'id': '7e951c33-4e61-45ab-90b1-a9c49a001656', 'url': 'https://i.imgur.com/kGDWBmml.jpg', 'normalizedUrl': 'https://i.imgur.com/kGDWBmml.jpg', 'thumbnail': 'https://i.imgur.com/kGDWBmml.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-04-21T18:55:59.093Z', 'updatedAt': '2022-04-21T18:55:59.093Z', 'width': 1792, 'height': 828}, {'id': '7e951c33-4e61-45ab-90b1-a9c49a001656', 'url': 'https://i.imgur.com/kGDWBmm.jpg', 'normalizedUrl': 'https://imgur.com/kGDWBmm', 'thumbnail': 'https://i.imgur.com/kGDWBmml.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T18:55:59.093Z', 'updatedAt': '2022-04-21T18:55:59.093Z', 'width': 1792, 'height': 828}]|[{'url': 'https://i.imgur.com/kGDWBmm.jpg'}]|
238679539|尋龍訣  九層妖塔 鬼吹燈|以前和一位朋友去看電影，剛好是盜墓提材冒險，第一次看尋龍訣，過程中很多場景機關，不小心噴到毒霧就變喪屍咬人，主角長的鬍子配上長髮真的很帥氣，放蕩不羈的個性，後來有不少盜墓冒險電影，九層妖塔，鬼吹燈，還有其它盜墓電影嗎？請分享意見|2022-04-21T15:04:35.832Z|2022-04-21T15:04:35.832Z|1|2|電影|窈窕君子淑女好糗🤪|M|False|False|[]|[]|
238679273|找一部美國電影🙏|"最近想重看一部之前很愛的美國電影
劇情大概是 白宮被炸 女主角是總統保鑣
一路帶著總統四處逃竄
接近尾聲我記得有個印象很深刻的畫面
男主角+女主角+總統坐在車上(還在逃跑)
女主角一個主角光環甩尾倒車
然後反派演員死光光
總統對著男主角說：marry her!

懇求知道這部電影的帥哥美女指引道路🥺
就算是類似的但不太清楚劇情也沒關係
我可以一個一個找～
不然我找到快瘋了但就是忘記劇名🤣
因為炸白宮的電影實在是太多了
白宮真的是一天到晚被炸欸🤣🤣"|2022-04-21T14:33:49.660Z|2022-04-21T14:33:49.660Z|5|1|電影|真理大學|M|False|False|[]|[]|
238677789|"#閒聊 《怪獸與鄧布利多的秘密》想看多一點葛鄧 | 原聲帶音樂分享"|"當初看到《怪獸與鄧布利多的秘密》這個標題，馬上想到哈利波特系列中已知的秘密——阿不思·鄧布利多和蓋勒·葛林戴華德曾是戀人~ 當初看小說被這個秘密震驚到，雖然這幾年不怎麼嗑但還是想知道他們二人完整的愛情故事，但是...沒有QQ
https://i.imgur.com/BjVaVKI.jpg

從標題本身，可以看出導演想從紐特的角度去切入說魔法世界的故事，展開鄧布利多家族成員的秘密，但是個人覺得很多故事線都處理得不夠深入。

首先劇情線蠻單薄的，與前兩部相比加了很多人物、魔法，雖然說劇情有順利走完，但同時也發展出很多支線，故事可以更加豐富而不只一點帶過講完故事。

和上面提到的，既然主標題和怪獸有關，那第一主角就是紐特，但在這一部他的存在被削弱了許多，不過應該有佔多戲份的阿不思·鄧布利多和葛林戴華德互動也不算很多。看下來說是有主角團在走主線也不完全，說是群像戲但每個角色設定都不夠豐富

整部電影能讓我內心尖叫的只有最後對決阿不思和葛林互碰對方胸口感受心跳的那段XD
https://i.imgur.com/tM3KnxP.jpg
 
還有開頭兩人看似心平氣和實際內心波濤洶湧的談話，那個眼裡流露的情感有點唏噓

只能說沒有看到多一點可愛的紐特和葛鄧好可惜

不過整體來說電影的魔法特效和配樂都更高級，拍攝角度和後期剪輯特效超級強，尤其這一幕的轉場真的有被驚艷到
https://i.imgur.com/VLABaPT.jpg

加上美國奧斯卡電影配樂家James Newton Howard的配樂，有滿滿的魔幻感，讓人覺得自己處於魔法世界
https://bit.ly/3KfPKOt 
1. I’m Expecting Someone
2. We Can Free Each Other
3. She’s Ready
4. Wyvern Rescue
5. Young Man’s Magic
6. I Know You Are There
7. Lally
8. Call Me Jacob
9. Countersight
10. A Message to Deliver
11. Insufficient Evidence
12. Do You Know What It’s Like?
13. Kama’s Memory
14. Same Blood
15. The Erkstag
16. Let Him Stand
17. Manticore Dance
18. Go to Him
19. Assassin!
20. Ted and Pick
21. The Escape
22. Kingdom of Bhutan
23. Powers of the Beast
24. Family History
25. Reanimation
26. The Room We Require
27. Surrounded
28. Hey Fellas
29. Case Chaos
30. A Full Heart
31. The Vote
32. He’s Lying to You
33. The Twin
34. He Sought to Kill, I Sought to Protect
35. I Was Never Your Enemy
36. The Promise
37. The Ceremony
38. Fantastic Beasts: The Secrets of Dumbledore
39. Heaven – Gregory Porter

附上電影戲份較少但我很喜歡的紐特 
https://i.imgur.com/VonoEoo.jpg

還有超級萌又可可愛愛的玻璃獸><
https://i.imgur.com/JYx30GP.jpg


https://i.imgur.com/XQxUyDq.jpg"|2022-04-21T11:52:42.313Z|2022-04-21T11:52:42.313Z|1|3|電影|靖靖子丫|F|True|False|[{'id': '1b7dc36b-cf45-4654-9323-b3c16f6a4f45', 'url': 'https://i.imgur.com/BjVaVKIl.jpg', 'normalizedUrl': 'https://i.imgur.com/BjVaVKIl.jpg', 'thumbnail': 'https://i.imgur.com/BjVaVKIl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 1280, 'height': 720}, {'id': '1b7dc36b-cf45-4654-9323-b3c16f6a4f45', 'url': 'https://i.imgur.com/BjVaVKI.jpg', 'normalizedUrl': 'https://imgur.com/BjVaVKI', 'thumbnail': 'https://i.imgur.com/BjVaVKIl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 1280, 'height': 720}, {'id': '371e7725-178e-4ea4-82f6-5e4778b6ceb9', 'url': 'https://i.imgur.com/tM3KnxP.jpg', 'normalizedUrl': 'https://imgur.com/tM3KnxP', 'thumbnail': 'https://i.imgur.com/tM3KnxPl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 700, 'height': 400}, {'id': '56240f26-0cf9-4444-83b9-15e079ff4ae5', 'url': 'https://i.imgur.com/VLABaPT.jpg', 'normalizedUrl': 'https://imgur.com/VLABaPT', 'thumbnail': 'https://i.imgur.com/VLABaPTl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 1267, 'height': 544}, {'id': '2b16e4ee-410f-4c73-8268-25e649972693', 'url': 'https://i.imgur.com/VonoEoo.jpg', 'normalizedUrl': 'https://imgur.com/VonoEoo', 'thumbnail': 'https://i.imgur.com/VonoEool.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 1800, 'height': 2667}, {'id': '714daae2-a612-47a6-b436-62c5e86da275', 'url': 'https://i.imgur.com/JYx30GP.jpg', 'normalizedUrl': 'https://imgur.com/JYx30GP', 'thumbnail': 'https://i.imgur.com/JYx30GPl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 1500, 'height': 1875}, {'id': '9537ded0-03dd-4f96-a281-e13cc5ff53d0', 'url': 'https://i.imgur.com/XQxUyDq.jpg', 'normalizedUrl': 'https://imgur.com/XQxUyDq', 'thumbnail': 'https://i.imgur.com/XQxUyDql.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T11:52:42.313Z', 'updatedAt': '2022-04-21T11:52:42.313Z', 'width': 1800, 'height': 2667}]|[{'url': 'https://i.imgur.com/BjVaVKI.jpg'}, {'url': 'https://i.imgur.com/tM3KnxP.jpg'}, {'url': 'https://i.imgur.com/VLABaPT.jpg'}, {'url': 'https://i.imgur.com/VonoEoo.jpg'}, {'url': 'https://i.imgur.com/JYx30GP.jpg'}, {'url': 'https://i.imgur.com/XQxUyDq.jpg'}]|
238677596|#雷 🎬咒 Incantation「火佛修一，心薩嘸哞」|"（慢了超多拍才去看《咒》）

▪️咒 | 介紹
《咒》於今年三月上映，是臺灣第一部自製的邪教驚悚恐怖電影，導演為執導過《打噴嚏》的柯孟融，編劇則為柯孟融和張喆崴，由蔡亘晏、高英軒等人擔任主演，而個人認為蔡亘晏非常有可能角逐新一年的金馬影后。頂著「臺灣影史最恐怖電影」的頭銜，好評不斷的《咒》，於日前衝破1.5億票房，成為臺灣影史第二賣座的恐怖片。
https://i.imgur.com/bveGZbk.jpg

▪️咒 | 劇情大綱
《咒》劇情描述女主角李若男從育幼院接回了失散六年的女兒「朵朵」，並買了一台攝影機記錄兩人的生活。奇怪的是，自從若男接回朵朵後，怪事一件接一件，身邊也有越來越多人遭受牽連。隨著劇情推進，我們得知了六年前發生的怪誕，以及不可觸碰的禁忌.....
https://i.imgur.com/Ab21YBh.jpg

———雷———

▫️咒 | 故事背景
《咒》取材自發生於高雄的真實邪教事件。事件發生於2005年，高雄市鼓山區一處透天厝住著一個三代同堂的大家庭。全家共11人，吳姓一家六口人住在三樓，而二樓與一樓則為其他親戚和祖父母的住所。吳姓一家篤信宗教，供奉三天子，一切看似正常。而某天小女兒去了某神壇後，回家就聲稱被三太子附身，說家中長姊被邪靈附身，必須進行淨身。自從小女兒聲稱被附身後，全家一個接著一個起乩，淪落到彼此拿神主牌互毆，互喂排泄物，而長女則被活活餓死。最後吳家剩餘五人被起訴，精神科醫師則鑑定此病症為集體妄想症。
（還有很多細節沒有打出來，想知道的可以上網搜尋～！）
https://i.imgur.com/IZVnb5C.jpg

▫️咒 | 劇情探討
《咒》故事的起源是標準的「不作死就不會死」類型，但與其他恐怖片不同的地方是，六年前三人觸犯的禁忌僅僅只是恐怖的開端，真正的折磨與詛咒才正要開始。

接下來討論《咒》的情感元素。全片我最有感觸的，是若男對朵朵的心態轉變。電影開場我們就能看到若男到哪都帶著攝影機，她說是為了記錄與朵朵的新生活，一直到結局我們才發現這是另類的詛咒，為了把大黑佛母的詛咒分散給攝影機前的所有人。而若男把朵朵接回身邊的原因也不單純，電影前半段有個片段是若男教朵朵怎麼寫、怎麼念自己的名字，而這也是她成功與邪靈結約，依約將小孩獻給大黑佛母的儀式。
https://i.imgur.com/Dnqg6LM.jpg

經過一連串的災難與怪事，若男發現自己是真心愛著朵朵，愛著自己親生女兒的，而她也真正體會到了大黑佛母的黑暗力量，意識到了六年前觸犯禁忌的不可逆。於是電影最後，若男獨自前往廢棄的陳家村，此時觀眾才知道，之前的一切都是若男為了分散詛咒而佈局的。若男全身寫滿符文，蒙上紅布，一把拉開大黑佛母臉上的紅布，最後若男撞頭，自殘而死。
https://i.imgur.com/j3dwsqD.jpg

看完《咒》後，發現很多人會拿《咒》與《薩滿》來做比較。《薩滿》於去年上映，有著與《咒》相近的偽紀錄片拍攝手法。不過我個人認為除了「拍攝手法」與「宗教元素」外，這兩部電影劇情可說是完全不同。《薩滿》主要是探討對信仰、對神祗的懷疑與不安，還有邪與正之間的拉扯 ; 而《咒》則讓人對邪惡心生畏懼，利用對著鏡頭敘事的手法，讓觀眾產生強烈帶入感，如同自己也被捲入一起邪魔的怪談中。有著不同主旨的兩部電影我都很喜歡，不過我認為《咒》的帶入感更深，整體而言更詭異、更讓人不安。
https://i.imgur.com/BD2XcP3.jpg

▫️咒 | 恐怖嗎？
恐怖嗎？我覺得更多是的是詭異、壓迫感和惶恐不安。《咒》全片的Jump Scare次數出乎意料的不多，基本上只有3～4處，真正讓人毛骨悚然的地方在於偽紀錄片的臨場感與真實感、緊繃的環境音和配樂、壓抑的低鳴宗教朗誦聲和超級詭異的氣氛。看《咒》之前，我還跟朋友說：「終於可以被嚇一嚇，好好抒發情緒。」結果我全程都超級緊繃，完全沒辦法放鬆神經，因為《咒》真的壓迫性十足，那是一種會讓你打從心底感到不安的感覺。
https://i.imgur.com/kKPwTdD.jpg

整體而言，《咒》場景規劃與拍攝手法都十分成熟與出色。場景的部分，陳家村的荒涼與詭異感恰到好處，而若男舊家頂樓封藏V8的倉庫中設置的神壇也相當嚇人。至於拍攝手法，《咒》的手持搖晃感比起《薩滿》略勝十籌，不至於會頭暈想吐，如果看《咒》會讓你感到頭暈不適，那《薩滿》絕對要敬而遠之。
https://i.imgur.com/osJEiad.jpg

最重要的是，《咒》的氣氛營造真的沒話說，女主角在電影中多次對著觀眾比的手勢，說的咒語，不知不覺在我們的潛意識中根深蒂固。在電影最後主角的自白中，我們才得知，一開始認為是祝福的咒語，其本意是「禍福相倚，死生有命」，是一句來自大黑佛母的古老的詛咒，而那時我們早就默默在腦海重複了幾百次這個邪惡的咒語。其實這樣的手法有點像是某一版本的《七夜怪談》，最後主角將錄影帶釋出，試圖讓世人一起分散詛咒，只不過《咒》的手法更高明一點，到結局才揭露真相，並且從頭到尾都有強烈帶入感。
https://i.imgur.com/7ox6qF7.jpg

總而言之我認為《咒》並非一般恐怖片所定義的可怕，若你自認很容易受影響，或是只想看看無腦鬼片發洩情緒，《咒》自然不會在選項之內。

（看完回家隔天極度不舒服）
（應該是心理作用）
（找圖片再被嚇一次）

有任何想法歡迎跟我分享～！
更多的我⬇️
https://linktr.ee/Annlin1727"|2022-04-21T11:29:21.444Z|2022-04-21T11:29:42.752Z|0|14|電影|馬鈴薯泥🥔|F|True|False|[{'id': '8018082c-8cfb-4aca-928a-5d6bc12a6cf0', 'url': 'https://i.imgur.com/bveGZbkl.jpg', 'normalizedUrl': 'https://i.imgur.com/bveGZbkl.jpg', 'thumbnail': 'https://i.imgur.com/bveGZbkl.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 800, 'height': 533}, {'id': '8018082c-8cfb-4aca-928a-5d6bc12a6cf0', 'url': 'https://i.imgur.com/bveGZbk.jpg', 'normalizedUrl': 'https://imgur.com/bveGZbk', 'thumbnail': 'https://i.imgur.com/bveGZbkl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 800, 'height': 533}, {'id': 'dc6aafc0-4112-4903-9e8d-395787a4251b', 'url': 'https://i.imgur.com/Ab21YBh.jpg', 'normalizedUrl': 'https://imgur.com/Ab21YBh', 'thumbnail': 'https://i.imgur.com/Ab21YBhl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 800, 'height': 533}, {'id': 'fce8e150-a3b5-4e46-ad19-ee30e26271e7', 'url': 'https://i.imgur.com/IZVnb5C.jpg', 'normalizedUrl': 'https://imgur.com/IZVnb5C', 'thumbnail': 'https://i.imgur.com/IZVnb5Cl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 600, 'height': 324}, {'id': '4b1df504-c84b-43f6-b7b2-88dc7e6ef67e', 'url': 'https://i.imgur.com/Dnqg6LM.jpg', 'normalizedUrl': 'https://imgur.com/Dnqg6LM', 'thumbnail': 'https://i.imgur.com/Dnqg6LMl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 600, 'height': 400}, {'id': '2f8ccd6f-56c9-40bc-b7b1-0170f741590e', 'url': 'https://i.imgur.com/j3dwsqD.jpg', 'normalizedUrl': 'https://imgur.com/j3dwsqD', 'thumbnail': 'https://i.imgur.com/j3dwsqDl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 640, 'height': 427}, {'id': '355be8d8-0cca-480b-bc4f-6345acce5e95', 'url': 'https://i.imgur.com/BD2XcP3.jpg', 'normalizedUrl': 'https://imgur.com/BD2XcP3', 'thumbnail': 'https://i.imgur.com/BD2XcP3l.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 800, 'height': 533}, {'id': '47225c96-469a-4fe5-9cbc-d2042e967251', 'url': 'https://i.imgur.com/kKPwTdD.jpg', 'normalizedUrl': 'https://imgur.com/kKPwTdD', 'thumbnail': 'https://i.imgur.com/kKPwTdDl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 1049, 'height': 699}, {'id': '9c4c5d08-f022-4980-8d9b-3354d866a945', 'url': 'https://i.imgur.com/osJEiad.jpg', 'normalizedUrl': 'https://imgur.com/osJEiad', 'thumbnail': 'https://i.imgur.com/osJEiadl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED', 'POSSIBLY_UNSAFE', 'GOOGLE_VISION_VIOLENCE_LIKELY'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 800, 'height': 533}, {'id': 'c6ffc25b-3ae5-49d2-8674-0af51060624e', 'url': 'https://i.imgur.com/7ox6qF7.jpg', 'normalizedUrl': 'https://imgur.com/7ox6qF7', 'thumbnail': 'https://i.imgur.com/7ox6qF7l.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-21T11:29:21.444Z', 'updatedAt': '2022-04-21T11:29:42.752Z', 'width': 800, 'height': 400}]|[{'url': 'https://i.imgur.com/bveGZbk.jpg'}, {'url': 'https://i.imgur.com/Ab21YBh.jpg'}, {'url': 'https://i.imgur.com/IZVnb5C.jpg'}, {'url': 'https://i.imgur.com/Dnqg6LM.jpg'}, {'url': 'https://i.imgur.com/j3dwsqD.jpg'}, {'url': 'https://i.imgur.com/BD2XcP3.jpg'}, {'url': 'https://i.imgur.com/kKPwTdD.jpg'}, {'url': 'https://i.imgur.com/osJEiad.jpg'}, {'url': 'https://i.imgur.com/7ox6qF7.jpg'}]|
238677105|哪裡有能用台灣Pay購票的電影院qq|"因為最近藝Fun券快過期了，想去看個電影（咒、鄧不利多等等）
結果美麗華影城沒辦法使用台灣Pay
有查詢過了，像是秀泰、國賓、威秀都沒有
https://sticker-assets.dcard.tw/images/0213dbb3-5b5a-4fbd-9852-38b510c78f86/orig.png
想詢問一下大家有推薦哪間電影院是可以使用台灣Pay的嗎？
非常感謝！
https://sticker-assets.dcard.tw/images/b171fdb5-1942-473b-9854-44f63486bf2f/orig.png"|2022-04-21T10:33:24.411Z|2022-04-21T10:33:24.411Z|2|1|電影|中國文化大學|M|True|False|[{'id': '1b79aebb-9f30-4f27-bc35-3b736cd03554', 'url': 'https://sticker-assets.dcard.tw/images/0213dbb3-5b5a-4fbd-9852-38b510c78f86/orig.png', 'normalizedUrl': 'https://megapx.dcard.tw/v1/images/0213dbb3-5b5a-4fbd-9852-38b510c78f86', 'thumbnail': '', 'type': 'image/sticker', 'tags': ['IMAGE_NOT_AVAILABLE'], 'createdAt': '2022-04-21T10:33:24.411Z', 'updatedAt': '2022-04-21T10:33:24.411Z', 'width': 512, 'height': 512}, {'id': '7748ef69-b6c1-4437-9386-00ba57cd6c40', 'url': 'https://sticker-assets.dcard.tw/images/b171fdb5-1942-473b-9854-44f63486bf2f/orig.png', 'normalizedUrl': 'https://megapx.dcard.tw/v1/images/b171fdb5-1942-473b-9854-44f63486bf2f', 'thumbnail': '', 'type': 'image/sticker', 'tags': ['IMAGE_NOT_AVAILABLE'], 'createdAt': '2022-04-21T10:33:24.411Z', 'updatedAt': '2022-04-21T10:33:24.411Z', 'width': 512, 'height': 512}]|[]|
238674703|4/22 降價求讓票|"❗️如題,十萬火急❗️
4/22 19:00 K歌情人的屋頂電影院，兩張票降價求帶走他們！

原因就是誤交損友臨時說不能去🙃🙃，原價450/一張，兩張一起帶$700甜甜價讓你享受露天電影院的美好～
地點在信義誠品的頂樓，露天的座位是海灘椅，官方票券已完售，讓票給想去看的卡友們！
票券已包含百威金尊啤酒+myvideo七天免費觀看序號

https://www.accupass.com/go/skftpeapril

https://i.imgur.com/HstHL1N.jpg


意者請私訊，謝謝大家，感激不盡～"|2022-04-21T06:05:22.129Z|2022-04-21T06:05:22.129Z|1|2|電影|YVONNE|F|True|False|[{'id': '6b7b01bc-99a3-4b7c-b488-0874d8e0894b', 'url': 'https://i.imgur.com/HstHL1Nl.jpg', 'normalizedUrl': 'https://i.imgur.com/HstHL1Nl.jpg', 'thumbnail': 'https://i.imgur.com/HstHL1Nl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-04-21T06:05:22.129Z', 'updatedAt': '2022-04-21T06:05:22.129Z', 'width': 828, 'height': 1432}, {'id': '6b7b01bc-99a3-4b7c-b488-0874d8e0894b', 'url': 'https://i.imgur.com/HstHL1N.jpg', 'normalizedUrl': 'https://imgur.com/HstHL1N', 'thumbnail': 'https://i.imgur.com/HstHL1Nl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-21T06:05:22.129Z', 'updatedAt': '2022-04-21T06:05:22.129Z', 'width': 828, 'height': 1432}]|[{'url': 'https://i.imgur.com/HstHL1N.jpg'}]|
238672808|求薦 真實事件改編電影|"偏好真實故事改編的電影，擔心遺漏好片

煩請推薦各位心裡的好作品，類型不限（劇集也可）

感謝🙏"|2022-04-21T01:51:13.021Z|2022-04-21T01:51:13.021Z|11|1|電影|暖叔本叔@廣東|M|False|False|[]|[]|
238671237|正確的武打戲拍攝方式|"https://youtu.be/Nsv2sbiaOM4
https://youtu.be/W7f_kZ-vCBU

重點整理：
香港武打戲比較好看的原因
1.很多演員都是練家子、有真功夫
2.大部分使用中景、遠景，不會太多特寫
3.長鏡頭 (單一畫面停留時間長)
4.鏡頭大多固定不會手持亂晃，讓觀眾看清楚打鬥過程
5.重放精彩打擊畫面，加深力道感

雖然歐美電影的cg特效很厲害、動作場面又浩大，但在武打戲方面還是香港拍得比較好看

還沒看過Scott Adkins的終極鬥士系列
也可以去看看"|2022-04-20T16:59:21.819Z|2022-04-20T17:11:14.305Z|2|5|電影|崇右影藝科技大學|M|False|False|[{'id': 'b849fbd0-2cd4-46d9-a8f8-b8a1660b35c2', 'url': 'https://img.youtube.com/vi/Nsv2sbiaOM4/hqdefault.jpg', 'normalizedUrl': 'https://img.youtube.com/vi/Nsv2sbiaOM4/hqdefault.jpg', 'thumbnail': 'https://img.youtube.com/vi/Nsv2sbiaOM4/hqdefault.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-20T16:59:21.819Z', 'updatedAt': '2022-04-20T17:11:14.305Z'}, {'id': 'b849fbd0-2cd4-46d9-a8f8-b8a1660b35c2', 'url': 'https://youtu.be/Nsv2sbiaOM4', 'normalizedUrl': 'https://www.youtube.com/watch?v=Nsv2sbiaOM4', 'thumbnail': 'https://img.youtube.com/vi/Nsv2sbiaOM4/hqdefault.jpg', 'type': 'video/youtube', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-20T16:59:21.819Z', 'updatedAt': '2022-04-20T17:11:14.305Z'}, {'id': 'a6b06367-586d-45e4-89f9-2af2a226b902', 'url': 'https://youtu.be/W7f_kZ-vCBU', 'normalizedUrl': 'https://www.youtube.com/watch?v=W7f_kZ-vCBU', 'thumbnail': 'https://img.youtube.com/vi/W7f_kZ-vCBU/hqdefault.jpg', 'type': 'video/youtube', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-20T16:59:21.819Z', 'updatedAt': '2022-04-20T17:11:14.305Z'}]|[]|
238670589|想找一部推理燒腦類的電影！（已解決|"打擾ㄌ！
想找一部電影是偏燒腦解謎破關生存類型的（非犯罪類，比較像魷魚遊戲那種）

目前只記起來裡面有一關是男主角站在一個平台上然後四周有四個平台， 每個平台上都有一道牆而牆後會各站一個人， 牆上有一處挖空可以看到牆後的人的眼睛，男主好像要根據什麼線索找到安全的平台，如果選錯平台就會掉下去死掉
我後面就記不太起來ㄌ，只知道男主角最後似乎是用鏡子破解通關。

求大神們解答"|2022-04-20T15:52:42.389Z|2022-04-20T16:11:44.835Z|1|1|電影|魚|F|False|False|[]|[]|
